기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,투자조합배당수익,자회사지분매각(일부+전부),국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)"
A,2020,6,단독형,⑥강원,3~5개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,3~5명,1천만원이상~5천만원미만,0원,0원,0원,0원,3천만원이상~5천만원미만
AA(동아대학교 기술지주),2020,8,단독형,③부산/울산/경남,3~5개사,20개이상(23개),3억이상~5억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
AC,2020,4,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,1천만원이상~5천만원미만,0원,0원
AE(부산대학교 기술지주),2020,10,단독형,③부산/울산/경남,3~5개사,20개이상(33개),3억이상~5억미만,60억이상(68.9억),10억이상~30억미만,9명이상(14명),30억이상,0원,0원,5천만원이상,10억이상,5억이상~10억미만
AF(부산지역대학연합기술지주),2020,5,공동형,③부산/울산/경남,6~8개사,20개이상(39개),5억이상~8억미만,60억이상(135.6억),1억원이상~5억원미만,9명이상(10명),10억이상~30억미만,0원,1억원이상~5억원미만,5천만원이상,10억이상,0원
AG,2020,11,단독형,①서울/경기/인천,0개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
AH,2020,11,단독형,①서울/경기/인천,0개사,10개이상~20개미만,10억이상~15억미만,40억이상~50억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
AI(서울대학교 기술지주),2020,12,단독형,①서울/경기/인천,1~2개사,20개이상(40개),10억이상~15억미만,60억이상(200억),30억이상,6~8명,5억이상~10억미만,0원,0원,5천만원이상,1억원이상~5억원미만,0원
AJ,2020,2,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
AK,2020,8,단독형,①서울/경기/인천,0개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,3~5명,10억이상~30억미만,0원,0원,0원,10억이상,0원
AL,2020,8,단독형,①서울/경기/인천,0개사,10개미만,1억이상~3억미만,20억이상~30억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,3천만원이상~5천만원미만,0원,0원,0원
AM,2020,4,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
AN,2020,4,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원미만
AO,2020,3,단독형,①서울/경기/인천,3~5개사,10개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
AQ(연세대학교 기술지주),2020,9,단독형,①서울/경기/인천,3~5개사,20개이상(29개),15억이상,60억이상(165.1억),1억원이상~5억원미만,9명이상(15명),30억이상,0원,5천만원이상~1억원미만,5천만원이상,10억이상,1억원이상~5억원미만
AR,2020,8,단독형,③부산/울산/경남,0개사,10개미만,1억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
AT,2020,4,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
AU(인제대학교 기술지주),2020,2,단독형,③부산/울산/경남,9개사 이상(13개),10개이상~20개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만
AV,2020,11,단독형,①서울/경기/인천,0개사,10개이상~20개미만,8억이상~10억미만,40억이상~50억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,1천만원이상~5천만원미만,0원,0원,0원,0원
AW,2020,2,단독형,①서울/경기/인천,0개사,10개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,0원,0원,0원,0원,0원,0원
AX(전남대학교 기술지주),2020,9,단독형,⑤광주/전남/전북,3~5개사,20개이상(33개),1억이상~3억미만,40억이상~50억미만,10억이상~30억미만,9명이상(13명),30억이상,0원,3천만원이상~5천만원미만,5천만원이상,10억이상,1억원이상~5억원미만
AY,2020,8,단독형,⑦제주,0개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,5천만원이상,3천만원미만,3천만원미만
AZ,2020,0,단독형,⑦제주,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
B(강원지역대학연합기술지주),2020,11,공동형,⑥강원,1~2개사,20개이상(48개),5억이상~8억미만,40억이상~50억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,0원
BA,2020,10,단독형,⑤광주/전남/전북,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,0원,3천만원미만
BE,2020,7,단독형,③부산/울산/경남,1~2개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,5천만원이상~1억원미만,0원
BF,2020,2,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
BG,2020,2,단독형,⑤광주/전남/전북,3~5개사,10개미만,1억미만,10억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,3천만원이상~5천만원미만,3천만원이상~5천만원미만
BH,2020,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,0원,3천만원미만
BI(대경지역 대학 공동기술지주),2020,6,공동형,④대구/경북,0개사,20개이상(61개),5억이상~8억미만,60억이상(66.7억),1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,5천만원이상,3천만원미만,1억원이상~5억원미만
BJ,2020,2,단독형,①서울/경기/인천,3~5개사,10개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,3천만원미만,3천만원이상~5천만원미만
BK(순천향대학교 기술지주),2020,6,단독형,②대전/충남/충북,1~2개사,20개이상(30개),1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,0원
BL(엔포유대학연합기술지주),2020,4,공동형,①서울/경기/인천,6~8개사,20개이상(37개),1억이상~3억미만,10억이상~20억미만,1억원이상~5억원미만,3~5명,5억이상~10억미만,0원,0원,0원,1억원이상~5억원미만,1억원이상~5억원미만
BN,2020,0,단독형,④대구/경북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
BO,2020,2,공동형,⑤광주/전남/전북,6~8개사,10개이상~20개미만,10억이상~15억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,0원,0원,0원,0원,0원,0원
BP(전북지역대학연합기술지주),2020,9,공동형,⑤광주/전남/전북,1~2개사,20개이상(23개),15억이상,60억이상(72.3억),1억원이상~5억원미만,6~8명,1억원이상~5억원미만,0원,3천만원미만,5천만원이상,1억원이상~5억원미만,0원
BQ,2020,2,공동형,④대구/경북,3~5개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
BR,2020,2,단독형,②대전/충남/충북,3~5개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
BS,2020,1,단독형,⑤광주/전남/전북,3~5개사,10개미만,1억이상~3억미만,10억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,5천만원이상~1억원미만
