,업력년수,자본금규모_변환,전담인력_변환,자회사수_변환,국책사업비수익보유여부,사업화_투자수익_발생여부,이중형_여부
업력년수,1.000***,0.423***,0.303***,-0.048,0.113*,0.066,0.101
자본금규모_변환,0.423***,1.000***,0.786***,0.171***,0.264***,0.397***,0.366***
전담인력_변환,0.303***,0.786***,1.000***,0.235***,0.304***,0.378***,0.411***
자회사수_변환,-0.048,0.171***,0.235***,1.000***,0.346***,0.331***,0.412***
국책사업비수익보유여부,0.113*,0.264***,0.304***,0.346***,1.000***,0.386***,0.728***
사업화_투자수익_발생여부,0.066,0.397***,0.378***,0.331***,0.386***,1.000***,0.785***
이중형_여부,0.101,0.366***,0.411***,0.412***,0.728***,0.785***,1.000***
